epoch,phase,steps,nr_games,average_reward,min_game_reward,max_game_reward,last_exploration_rate,total_train_steps,replay_memory_count,meanq,meancost,weight_updates,total_time,epoch_time,steps_per_second
0,random,50000,1469,0.23621511232130699,0,4,1,0,50000,0.093002,0,0,109.428281,109.428173,456.9207236969953
1,train,250000,7332,0.2703218767048565,0,6,0.7750009,250000,300000,0.32019,0.0021706188754474914,62500,2566.173476,2456.72585,101.76145620806653
1,test,125000,210,10.642857142857146,5,11,0.05,250000,300000,0.32019,0,62500,3645.676195,1079.469313,115.79764102103752
2,train,250000,5391,0.6974587275088113,0,10,0.5500008999999999,500000,550000,0.977514,0.0022638885471949451,125000,6654.2302500000005,3008.546058,83.09661716337267
2,test,125000,259,10.432432432432437,1,29,0.05,500000,550000,0.977514,0,125000,7742.389054,1088.1337539999995,114.87558357646542
3,train,250000,3702,1.3036196650459209,0,12,0.32500090000000004,750000,800000,1.24902,0.0024231427520561987,187500,11222.430582,3480.0336050000005,71.83838674454408
3,test,125000,184,17.51086956521739,3,37,0.05,750000,800000,1.24902,0,187500,12278.38457,1055.8683349999992,118.38597281165752
4,train,250000,2168,3.075645756457568,0,19,0.10000090000000006,1000000,1000000,1.81481,0.0021620166467228139,250000,16200.870933,3922.4785759999995,63.735211080474755
4,test,125000,143,29.32167832167833,14,59,0.05,1000000,1000000,1.81481,0,250000,17254.518196,1053.5983080000005,118.6410409459389
5,train,250000,1391,6.169662113587339,0,33,0.1,1250000,1000000,1.90169,0.001856445239457206,312500,21429.111384,4174.585103999998,59.88619078826669
5,test,125000,108,47.24999999999997,18,123,0.05,1250000,1000000,1.90169,0,312500,22511.093881,1081.9415010000012,115.53304858392697
6,train,250000,1185,9.00590717299578,0,52,0.1,1500000,250000,2.37919,0.0067629185795998322,62492,4056.783353,4056.768019,61.62541186213192
6,test,125000,93,71.35483870967745,39,316,0.05,1500000,250000,2.37919,0,62492,5106.170898,1049.3595950000004,119.12027163576845
7,train,250000,1063,11.196613358419569,0,134,0.1,1750000,500000,2.82456,0.0046914345895798428,124992,9156.683815,4050.5051249999997,61.720697119226585
7,test,125000,89,86.7191011235955,43,245,0.05,1750000,500000,2.82456,0,124992,10202.190536,1045.4822949999998,119.56204385077609
8,train,250000,980,14.996938775510207,0,344,0.1,2000000,750000,3.04965,0.0037938445314069738,187492,14247.043524,4044.8453059999993,61.807060860685496
8,test,125000,94,93.97872340425533,7,265,0.05,2000000,750000,3.04965,0,187492,15295.205580000002,1048.137385,119.25917517005655
9,train,250000,965,17.15751295336786,0,272,0.1,2250000,1000000,3.28055,0.0058327903674049494,249992,19337.387724,4042.1744820000004,61.84789922188222
9,test,125000,77,165.8831168831169,36,352,0.05,2250000,1000000,3.28055,0,249992,20381.283807,1043.8611039999996,119.74773226151365
10,train,250000,926,19.119870410367167,0,266,0.1,2500000,1000000,3.85357,0.0078426499614542775,312492,24415.997262999997,4034.7055269999983,61.962390644624634
10,test,125000,85,124.31764705882355,22,297,0.05,2500000,1000000,3.85357,0,312492,25460.847975,1044.8247140000021,119.63729257652278
11,train,250000,946,19.26321353065539,0,258,0.1,2750000,1000000,4.15768,0.010907025507088011,374992,29496.736218,4035.880549999998,61.94435065725623
11,test,125000,82,156.85365853658539,17,297,0.05,2750000,1000000,4.15768,0,374992,30541.531488999997,1044.7703359999978,119.64351943468681
12,train,250000,969,19.07327141382871,0,295,0.1,3000000,1000000,4.20572,0.011999243058752045,437492,34573.174059000004,4031.63493,62.00958279722018
12,test,125000,95,93.94736842105266,12,348,0.05,3000000,1000000,4.20572,0,437492,35618.408027000005,1045.2090480000043,119.5933007269561
13,train,250000,849,27.213191990577155,0,282,0.1,3250000,1000000,4.46036,0.012050134044972563,499992,39645.210606,4026.794851999999,62.08411632289433
13,test,125000,73,225.027397260274,48,377,0.05,3250000,1000000,4.46036,0,499992,40688.974383,1043.7389879999973,119.7617425785002
14,train,250000,894,23.310961968680097,0,342,0.1,3500000,1000000,5.00569,0.0078304775134758614,562492,44721.028608,4032.0465199999962,62.003252879135985
14,test,125000,76,197.15789473684217,24,392,0.05,3500000,1000000,5.00569,0,562492,45764.920581000006,1043.867155,119.74703811808315
15,train,250000,1017,19.498525073746304,0,348,0.1,3750000,1000000,4.9819,0.007215859566052041,624992,49797.084087,4032.1558650000006,62.001571459589385
15,test,125000,80,167.91250000000002,16,386,0.05,3750000,1000000,4.9819,0,624992,50841.351201000005,1044.2427790000002,119.70396397636951
16,train,250000,979,19.741573033707862,0,293,0.1,4000000,250000,5.45777,0.045221453086882711,62492,4052.991614,4052.976179,61.68306670425166
16,test,125000,76,174.6578947368421,20,388,0.05,4000000,250000,5.45777,0,62492,5107.464481,1054.446767,118.54557661136062
17,train,250000,943,22.295864262990435,0,333,0.1,4250000,500000,5.328,0.02553415981522348,124992,9667.100134,4559.628,54.82903429841207
17,test,125000,64,275.53125000000006,42,415,0.05,4250000,500000,5.328,0,124992,11641.817877,1974.6801989999985,63.30138928992223
18,train,250000,905,22.57348066298344,0,335,0.1,4500000,750000,5.89722,0.01710919220465363,187492,19748.455597,8106.622391000001,30.83898422079593
18,test,125000,67,232.73134328358208,39,406,0.05,4500000,750000,5.89722,0,187492,21725.766615,1977.2737280000001,63.218358808841664
19,train,250000,960,20.78125,0,337,0.1,4750000,1000000,6.09288,0.014187213824969545,249992,29137.80517,7412.019402999998,33.728999670294044
19,test,125000,85,105.92941176470588,12,365,0.05,4750000,1000000,6.09288,0,249992,30182.008732,1044.1713739999977,119.71214985635133
20,train,250000,1156,12.139273356401388,0,267,0.1,5000000,1000000,6.4111,0.011361452674841373,312492,34221.315803,4039.2988749999968,61.89192920268872
20,test,125000,81,119.81481481481481,4,402,0.05,5000000,1000000,6.4111,0,312492,35264.223244,1042.8823429999975,119.86011733636217
21,train,250000,974,18.320328542094483,0,308,0.1,5250000,1000000,5.67702,0.0092306620081135989,374992,39292.455237,4028.2242970000007,62.062085317887146
21,test,125000,61,268.2459016393443,54,413,0.05,5250000,1000000,5.67702,0,374992,40336.613333,1044.1331460000001,119.71653278019774
22,train,250000,952,20.539915966386562,0,329,0.1,5500000,250000,5.62877,0.039514548631273676,62492,4033.108025,4033.081327,61.98734409999167
22,test,125000,64,238.54687500000003,30,405,0.05,5500000,250000,5.62877,0,62492,5077.035158999999,1043.9020939999996,119.74303023095578
23,train,250000,899,23.096774193548388,0,356,0.1,5750000,500000,6.27145,0.021585183188420714,124992,9108.222917,4031.1800359999997,62.01658019919803
23,test,125000,99,87.72727272727276,4,394,0.05,5750000,500000,6.27145,0,124992,10181.401549999999,1073.1544609999983,116.4790387056875
24,train,250000,943,18.70519618239659,0,316,0.1,6000000,750000,6.49262,0.015827955166865547,187492,14214.951994,4033.542474,61.9802572085175
24,test,125000,89,114.10112359550561,0,399,0.05,6000000,750000,6.49262,0,187492,15286.394413,1071.4179810000005,116.66781985806522
25,train,250000,1019,17.993130520117752,0,337,0.1,6250000,1000000,6.49344,0.012894154405689711,249992,19326.706855,4040.304483,61.87652466587628
25,test,125000,104,44.86538461538462,5,359,0.05,6250000,1000000,6.49344,0,249992,20398.158099,1071.4195489999984,116.66764911716221
26,train,250000,967,17.79627714581183,0,303,0.1,6500000,1000000,5.52475,0.011455836680405517,312492,24425.316699000003,4027.1505880000004,62.078632158664135
26,test,125000,103,95.22330097087381,0,405,0.05,6500000,1000000,5.52475,0,312492,25500.836740000002,1075.495296000001,116.22551996731363
27,train,250000,910,22.87362637362637,0,297,0.1,6750000,1000000,5.64398,0.0089980572389871324,374992,29527.463115000002,4026.6183530000017,62.08683765963054
27,test,125000,85,142.05882352941177,14,391,0.05,6750000,1000000,5.64398,0,374992,30599.156161000003,1071.6682980000005,116.64056894589592
28,train,250000,934,22.986081370449668,0,325,0.1,7000000,1000000,6.07293,0.0086716160835378382,437492,34628.782277,4029.6182039999985,62.04061708671001
28,test,125000,79,97.27848101265823,13,397,0.05,7000000,1000000,6.07293,0,437492,35698.951078,1070.1440399999992,116.80670575897436
29,train,250000,915,22.09398907103827,0,325,0.1,7250000,1000000,6.27302,0.0075294580962682375,499992,39718.499293,4019.5402879999965,62.19616724488475
29,test,125000,66,219.10606060606062,20,415,0.05,7250000,1000000,6.27302,0,499992,40789.423979,1070.900333999998,116.72421422552308
30,train,250000,893,21.273236282194837,0,304,0.1,7500000,1000000,6.36691,0.006453496088606488,562492,44816.31684,4026.884889000001,62.082728185975704
30,test,125000,63,202.2857142857143,34,403,0.05,7500000,1000000,6.36691,0,562492,45888.09496,1071.753472000004,116.63129932925428
31,train,250000,869,26.063291139240516,0,353,0.1,7750000,1000000,7.12443,0.0060966268621850395,624992,49913.621502,4025.5185150000034,62.10380080688805
31,test,125000,62,292.9677419354839,69,416,0.05,7750000,1000000,7.12443,0,624992,50983.828898,1070.1823969999969,116.80251922514137
32,train,250000,873,25.899198167239376,0,332,0.1,8000000,1000000,5.43245,0.0051719311031714187,687492,55011.526184,4027.689302999999,62.07032896350497
32,test,125000,58,302.6724137931035,53,415,0.05,8000000,1000000,5.43245,0,687492,56081.730884000004,1070.1803810000056,116.80273925709291
33,train,250000,932,23.261802575107296,0,309,0.1,8250000,1000000,6.25143,0.0048399514221414012,749992,60815.806236000004,4734.067431000003,52.80871124963911
33,test,125000,73,242.54794520547946,41,402,0.05,8250000,1000000,6.25143,0,749992,62816.142518,2000.2990310000023,62.490656678221356
